동경|Longing
숭배|Adoration
예상|Expectation
다시 만날 날까지|Until we meet again
진실한 애정|Genuine affection
나는 당신의 것|I am yours
참을 수 없어|Cannot endure
현실주의|Realism
온화|Mildness
동의|Agreement
가련함|Piteousness
나를 건드리지 마세요|Do not touch me
질투|Jealousy
사모|Yearning love
정절|Chastity
그윽한 마음|Deep heart
열심|Zeal
부재|Absence
언제나 사랑해|Love you always
불타는 마음|Fiery heart
부부애|Conjugal love
광대함|Vastness
포용력|Embracing power
아가씨의 아름다운 자랑|Maiden’s proud beauty
재물|Wealth
보물|Treasure
자랑|Pride
원숙한 아름다움|Mature beauty
사랑의 희열|Rapture of love
인기|Popularity
주목|Attention
위험|Danger
주의|Caution
경계|Guard
조심|Carefulness
경애|Reverence
광휘|Radiance
아름다운 빛|Beautiful light
사치|Luxury
낭비|Wastefulness
전원의 행복|Rural happiness
야망|Aspiration
정직|Honesty
고마움|Gratitude
노력|Effort
결혼|Marriage
미래를 응시하며|Gazing toward the future
사랑의 번뇌|Agony of love
빛을 찾다|Seeking light
다재다능|Versatility
비밀스러운 애정|Secret affection
그대가 있어 외롭지 않네|Not lonely because you are here
담백|Pure simplicity
청순|Pure innocence
나를 사랑해주세요|Please love me
새로움|Novelty
마음속에 감춘 사랑|Love hidden in the heart
만족된 사랑|Contented love
변덕|Caprice
새 신부의 기쁨|Joy of a new bride
무관심|Indifference
냉정|Cool composure
믿는 마음|Believing heart
상처 치유|Healing wounds
마음의 아름다움|Beauty of heart
솔직함|Candor
슬픈 그대가 좋아|I cherish your sadness
쓸쓸함|Loneliness
독립|Independence
자중|Self-restraint
나를 생각해요|Think of me
후회스런 청춘|Regretful youth
흥분|Excitement
고상함|Elegance
비애|Sorrow
너그러움|Generosity
음악을 좋아함|Fondness for music
자연의 아름다움|Beauty of nature
사랑은 영원히|Love forever
선택|Choice
그대를 위해 살다|Living for you
아가씨의 수줍음|Maiden’s bashfulness
자제|Self-control
쟁취|Winning
화해|Reconciliation
잘 어울리는 한 쌍|Perfect pair
축제|Festival
극찬|High praise
역량|Capability
포식|Feasting
배부름|Fullness
사랑의 슬픔|Sorrow of love
반항심|Defiance
배신|Betrayal
단정한 사랑|Neat love
좋은 희망|Good hope
자선|Charity
마음의 고통을 위로하다|Comfort aching hearts
날 건드리지 마세요|Do not disturb me
숙명|Destiny
엄격함|Severity
고결한 마음|Noble heart
신중|Prudence
시|Poetry
섬세한 아름다움|Exquisite beauty
이끄시는 대로|As you lead
악의|Malice
불신|Distrust
열혈|Fervor
거절|Refusal
부인|Denial
진실의 위안|Solace of truth
공훈|Merit
주저|Hesitation
이별의 슬픔|Parting sorrow
기지|Wit
기민|Agility
비밀스러운 사랑|Secret love
진심으로 사모함|Devotion from the heart
겸허|Humility
회상|Recollection
공평|Fairness
정의|Justice
장엄|Solemnity
진심|Sincerity
까다로움|Fastidiousness
현명|Wisdom
지혜|Insight
지도|Guidance
전쟁|War
신앙|Faith
개척|Pioneering
진취|Enterprise
새로운 희망|New hope
침묵|Silence
행복한 연애|Happy romance
절실한 사랑|Earnest love
깊은 애정|Deep affection
고결한 이성|Noble reason
어머니의 사랑|Mother’s love
불로장생|Immortality
순수한 영혼|Pure soul
가정의 덕|Household virtue
완전무결|Perfection
덕망|Virtuous honor
천재|Genius
비범|Extraordinary
강한 인내심|Strong patience
선견지명|Foresight
근심을 풀어주세요|Relieve my worries
맑은 마음|Clear heart
원숙미|Ripened grace
조용한 미소|Quiet smile
온정|Warm affection
